# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -5.328668 eV
#    Energy (eV)      DOS 
        -12.67133165          0.00000000
        -12.58087939          0.00000000
        -12.49042713          0.00000000
        -12.39997487          0.00000000
        -12.30952261          0.00000000
        -12.21907034          0.00000015
        -12.12861808          0.00001294
        -12.03816582          0.00051571
        -11.94771356          0.00952723
        -11.85726130          0.08371294
        -11.76680904          0.36607076
        -11.67635678          0.86566984
        -11.58590452          1.27844824
        -11.49545225          1.43955970
        -11.40499999          1.47290858
        -11.31454773          1.48783738
        -11.22409547          1.55599915
        -11.13364321          1.82325163
        -11.04319095          2.34257913
        -10.95273869          2.82248096
        -10.86228642          3.04017141
        -10.77183416          3.10283106
        -10.68138190          3.13284231
        -10.59092964          3.16234757
        -10.50047738          3.19515933
        -10.41002512          3.23359718
        -10.31957286          3.29749275
        -10.22912060          3.48922602
        -10.13866833          3.98238553
        -10.04821607          4.67595590
         -9.95776381          5.19976258
         -9.86731155          5.50454638
         -9.77685929          5.78606529
         -9.68640703          6.09161695
         -9.59595477          6.31847825
         -9.50550251          6.48274906
         -9.41505024          6.57443277
         -9.32459798          6.34721182
         -9.23414572          5.91540045
         -9.14369346          5.61455131
         -9.05324120          5.38802412
         -8.96278894          5.30359704
         -8.87233668          5.74597124
         -8.78188441          6.73526294
         -8.69143215          7.58082615
         -8.60097989          7.39948456
         -8.51052763          6.18568596
         -8.42007537          4.87350831
         -8.32962311          3.94531282
         -8.23917085          3.29502230
         -8.14871859          2.78304432
         -8.05826632          2.34476900
         -7.96781406          1.93899622
         -7.87736180          1.51749936
         -7.78690954          1.06422448
         -7.69645728          0.67170190
         -7.60600502          0.49182685
         -7.51555276          0.72383300
         -7.42510050          2.04651396
         -7.33464823          5.32626665
         -7.24419597          8.64910169
         -7.15374371          8.70316513
         -7.06329145          6.57599864
         -6.97283919          4.98195472
         -6.88238693          4.56817203
         -6.79193467          4.76105504
         -6.70148240          5.09684596
         -6.61103014          6.04868373
         -6.52057788          7.30443923
         -6.43012562          7.38770614
         -6.33967336          6.56485326
         -6.24922110          6.20173991
         -6.15876884          6.27068247
         -6.06831658          6.15668919
         -5.97786431          5.83648330
         -5.88741205          5.55396630
         -5.79695979          5.50005322
         -5.70650753          5.60612787
         -5.61605527          5.59169242
         -5.52560301          5.17779660
         -5.43515075          4.41108505
         -5.34469849          3.77995226
         -5.25424622          3.52158148
         -5.16379396          3.45350256
         -5.07334170          3.45191561
         -4.98288944          3.55545163
         -4.89243718          3.80034822
         -4.80198492          3.94613830
         -4.71153266          3.74274078
         -4.62108039          3.42294721
         -4.53062813          3.29728957
         -4.44017587          3.48589058
         -4.34972361          3.82939681
         -4.25927135          3.85393742
         -4.16881909          3.70687061
         -4.07836683          4.25445347
         -3.98791457          5.88888746
         -3.89746230          7.96074873
         -3.80701004          9.19501438
         -3.71655778          9.05530909
         -3.62610552          8.25995244
         -3.53565326          7.45320608
         -3.44520100          6.85835873
         -3.35474874          6.96867125
         -3.26429648          8.22336671
         -3.17384421         10.07814860
         -3.08339195         11.25416321
         -2.99293969         11.03821568
         -2.90248743         10.23995306
         -2.81203517         10.12471666
         -2.72158291         10.70582923
         -2.63113065         11.53385723
         -2.54067838         12.25419086
         -2.45022612         12.58790262
         -2.35977386         12.44776304
         -2.26932160         11.92312415
         -2.17886934         11.37805137
         -2.08841708         11.01614842
         -1.99796482         10.71684997
         -1.90751256         10.57327805
         -1.81706029         10.61733359
         -1.72660803         10.53475926
         -1.63615577         10.16162454
         -1.54570351          9.69041683
         -1.45525125          8.93005354
         -1.36479899          7.80340200
         -1.27434673          6.78650409
         -1.18389447          6.10854808
         -1.09344220          5.63200382
         -1.00298994          5.23958881
         -0.91253768          4.78116518
         -0.82208542          4.37691902
         -0.73163316          4.88793927
         -0.64118090          6.42530300
         -0.55072864          7.49628277
         -0.46027637          7.24702471
         -0.36982411          6.76241859
         -0.27937185          6.93693735
         -0.18891959          7.01853177
         -0.09846733          6.26658437
         -0.00801507          5.39617234
          0.08243719          4.88526171
          0.17288945          4.11709094
          0.26334172          2.91977411
          0.35379398          2.01486550
          0.44424624          1.62543967
          0.53469850          1.45735542
          0.62515076          1.35151380
          0.71560302          1.28799050
          0.80605528          1.30280972
          0.89650755          1.44423492
          0.98695981          1.66612015
          1.07741207          1.89586820
          1.16786433          2.23811486
          1.25831659          2.79442861
          1.34876885          3.33208345
          1.43922111          3.61726774
          1.52967337          3.78123793
          1.62012564          4.02186363
          1.71057790          4.42253402
          1.80103016          5.07133685
          1.89148242          6.22338236
          1.98193468          8.11766145
          2.07238694         10.07510898
          2.16283920         11.09666477
          2.25329146         11.24253335
          2.34374373         10.94632460
          2.43419599         10.76422646
          2.52464825         10.70078176
          2.61510051         10.16996171
          2.70555277          9.43646878
          2.79600503          9.12858850
          2.88645729          9.38791716
          2.97690956         10.10499655
          3.06736182         11.08313620
          3.15781408         11.79037941
          3.24826634         11.65156567
          3.33871860         10.93870686
          3.42917086         10.28830192
          3.51962312         10.22899973
          3.61007538         11.19875719
          3.70052765         12.61988432
          3.79097991         13.43548693
          3.88143217         13.73512235
          3.97188443         14.23712232
          4.06233669         14.43574628
          4.15278895         13.57349488
          4.24324121         12.47800575
          4.33369347         11.86893794
          4.42414574         11.45833310
          4.51459800         11.07054090
          4.60505026         10.65798370
          4.69550252         10.18295203
          4.78595478          9.68432963
          4.87640704          9.42376886
          4.96685930          9.64193868
          5.05731157         10.07078582
          5.14776383         10.33737699
          5.23821609         10.43872983
          5.32866835         10.60946708
